claim_amount,historical_avg_amount,amount_deviation,claim_amount_zscore,claim_frequency_90d,days_since_last_claim,previous_claim_count,garage_repeat_count,document_mismatch_count,duplicate_indicator,invoice_reuse_indicator,policy_age_days,incident_to_claim_delay_days,is_suspicious
26251.45378004437,27460.246061747002,-1208.7922817026338,-0.10073269014188614,0,126,3,0,0,0,0,222,6,0
23389.787967188167,21243.74271870819,2146.045248479979,0.17883710403999825,0,572,1,0,0,0,0,862,4,0
34048.8914781699,36868.63979113149,-2819.748312961594,-0.23497902608013282,0,415,1,0,0,0,0,1221,6,0
40034.79792300394,38413.99698518595,1620.8009378179922,0.13506674481816602,0,648,0,0,0,0,0,2032,6,0
19761.312029215256,22284.10629090289,-2522.7942616876353,-0.21023285514063628,0,349,2,0,0,0,0,2474,1,0
30888.10221744736,32031.87437327577,-1143.7721558284102,-0.09531434631903418,0,150,2,0,1,0,0,212,12,0
76570.12435022931,17174.98014610261,59395.1442041267,4.949595350343892,3,16,4,1,2,0,0,282,16,1
23050.578933044846,24745.714463545828,-1695.135530500982,-0.14126129420841516,0,305,0,0,0,0,0,2159,2,0
31348.910518507204,31035.117673259643,313.79284524756076,0.026149403770630065,0,470,0,0,1,0,0,941,4,0
23925.343064659275,22138.925887929134,1786.4171767301414,0.1488680980608451,0,244,0,0,0,0,0,714,3,0
14374.47919570698,14569.551163299127,-195.0719675921482,-0.016255997299345685,0,473,1,0,0,0,0,1163,1,0
23614.564709458242,21430.448456120223,2184.1162533380193,0.18200968777816828,0,752,2,0,0,0,0,672,1,0
29209.952579755212,25016.336939005156,4193.615640750057,0.34946797006250474,0,703,3,0,0,0,0,1708,3,0
146588.27296507798,11527.150100466144,135061.12286461183,11.255093572050985,3,44,2,3,1,1,0,265,31,1
30049.56029908043,28189.58038170796,1859.9799173724678,0.15499832644770564,0,595,1,0,0,0,0,538,1,0
15599.416124077792,15595.72609872871,3.690025349082134,0.00030750211242351117,0,158,0,0,0,0,0,2071,1,0
18693.550424049463,19793.54954554259,-1099.9991214931288,-0.09166659345776074,0,721,2,0,1,0,0,340,1,0
18407.765670526947,19033.353661438556,-625.5879909116084,-0.05213233257596736,0,689,1,0,0,0,0,796,5,0
15018.055456238311,13370.147144494846,1647.9083117434657,0.1373256926452888,0,564,0,1,0,0,0,1431,1,0
20789.781541983655,17859.61993163782,2930.1616103458364,0.24418013419548637,0,482,2,0,0,0,0,495,5,0
25972.430061892217,28127.934557080098,-2155.504495187881,-0.17962537459899006,1,575,1,0,0,0,0,404,2,0
37688.01476995308,34175.49654393459,3512.5182260184883,0.2927098521682074,0,343,1,0,0,0,0,1491,3,0
21728.10697023617,22244.497390119246,-516.3904198830751,-0.043032534990256256,0,573,0,1,0,0,0,2453,8,0
119902.37128374027,13410.823257544374,106491.5480261959,8.874295668849658,4,61,5,2,2,0,1,168,56,1
20660.234094769734,22988.5601731248,-2328.326078355065,-0.19402717319625543,0,737,0,0,0,0,0,1161,5,0
25977.120829445026,24630.401468727618,1346.7193607174086,0.11222661339311737,0,606,2,0,0,0,0,1268,2,0
20071.645531786653,19044.302372892485,1027.3431588941676,0.0856119299078473,0,679,1,0,0,0,0,1756,2,0
20981.55529913561,19177.86256192297,1803.6927372126374,0.1503077281010531,0,253,1,0,0,0,0,1577,7,0
33298.36735225171,37177.55204135081,-3879.1846890991,-0.32326539075825833,0,229,0,1,0,0,0,2277,2,0
32587.895923512307,34686.759600993486,-2098.8636774811785,-0.17490530645676486,0,672,0,0,0,0,0,1191,1,0
15806.359506737583,14679.949184663472,1126.4103220741108,0.09386752683950923,1,649,1,0,0,0,0,1421,4,0
23861.58155454316,23803.886989243587,57.694565299574606,0.004807880441631217,0,216,2,1,0,0,0,2472,1,0
107819.72141318276,56030.2321791531,51789.489234029665,4.315790769502472,3,40,3,3,3,0,0,173,37,1
15662.833130388102,17807.988516348265,-2145.1553859601627,-0.17876294883001356,1,504,0,0,0,0,0,1229,2,0
27771.476741843915,31833.853155239,-4062.3764133950863,-0.33853136778292386,0,222,0,1,0,0,0,1433,1,0
26339.643220989703,24614.288674003266,1725.3545469864366,0.14377954558220304,0,658,0,0,0,0,0,1152,3,0
9342.455601164193,10034.08817792516,-691.6325767609669,-0.05763604806341391,0,184,0,0,0,0,0,1792,2,0
24810.090761994223,21639.087164466728,3171.003597527495,0.2642502997939579,1,779,0,1,0,0,0,2288,4,0
19605.084089838954,17222.987825020675,2382.0962648182795,0.19850802206818996,0,432,2,0,0,0,0,1901,2,0
20445.044306879678,20769.970767872517,-324.92646099283957,-0.02707720508273663,0,746,0,0,0,0,0,1129,6,0
25332.75135673743,25956.85943715343,-624.108080416001,-0.05200900670133342,0,429,0,0,0,0,0,1767,4,0
31087.38359270469,26799.6074403513,4287.776152353388,0.35731467936278233,0,345,0,0,0,0,0,475,1,0
15962.607406456409,17320.8149532065,-1358.2075467500908,-0.11318396222917423,0,199,1,0,0,0,0,566,2,0
33584.65124015653,35647.93396262766,-2063.2827224711364,-0.1719402268725947,0,511,3,0,0,0,0,2168,2,0
24539.240471749272,25147.329747033247,-608.0892752839754,-0.05067410627366462,0,669,1,0,0,0,0,1445,2,0
12084.068195497766,13855.932418323393,-1771.8642228256267,-0.14765535190213555,0,581,1,0,0,0,0,1612,4,0
151400.28049440082,22608.48862794915,128791.79186645168,10.732649322204306,1,8,6,2,1,0,1,155,47,1
21556.810981730545,22495.06703196514,-938.256050234595,-0.07818800418621626,0,730,0,0,0,0,0,367,8,0
23627.87483935298,24187.40578312832,-559.5309437753422,-0.04662757864794518,1,418,1,0,0,0,0,2332,4,0
187471.68188345493,16949.397498969884,170522.28438448504,14.210190365373753,2,45,4,3,1,0,0,144,39,1
30653.728542610737,27643.439235373295,3010.2893072374427,0.2508574422697869,0,140,1,0,0,0,0,872,2,0
16764.76387477314,16766.094196393966,-1.3303216208259983,-0.00011086013506883319,0,385,1,0,0,0,0,1760,4,0
32758.808122648206,35628.66848295979,-2869.8603603115807,-0.23915503002596505,0,624,0,0,0,0,0,756,12,0
18979.00634372941,21609.92580304429,-2630.9194593148823,-0.21924328827624018,0,254,0,0,0,0,0,882,1,0
32902.45094379061,32440.238088382623,462.21285540798635,0.03851773795066553,0,213,0,0,0,0,0,1921,1,0
23494.678752964042,22502.00934737564,992.6694055884036,0.0827224504657003,0,391,0,1,0,0,0,262,3,0
24307.622961058005,21274.8344912704,3032.7884697876034,0.2527323724823003,0,637,0,0,0,0,0,396,3,0
13502.47975049144,13350.714519363104,151.76523112833638,0.012647102594028032,0,668,0,0,0,0,0,1792,5,0
30309.353360829562,31578.289231787294,-1268.9358709577318,-0.10574465591314432,0,348,2,0,0,0,0,1886,1,0
20474.599324504874,22542.086153353004,-2067.4868288481302,-0.17229056907067752,0,702,1,0,0,0,0,2158,3,0
36233.820699563956,39885.36448879106,-3651.5437892271075,-0.3042953157689256,0,186,1,0,0,0,0,1615,2,0
22388.001705797906,24972.493315677853,-2584.4916098799476,-0.21537430082332898,0,572,0,0,0,0,0,1030,8,0
19644.391065498516,20910.605499483965,-1266.2144339854494,-0.10551786949878746,0,492,0,0,0,0,0,754,1,0
21036.93389532113,18601.581192048623,2435.352703272507,0.20294605860604226,0,799,1,0,0,0,0,547,1,0
171766.7878237744,21390.84542040112,150375.94240337325,12.531328533614438,3,28,6,2,2,1,1,39,31,1
16380.4512284851,18049.41197562284,-1668.9607471377385,-0.1390800622614782,0,737,2,0,0,0,0,1577,5,0
32602.50877004261,30099.256695458367,2503.252074584241,0.20860433954868676,0,123,1,0,0,0,0,1128,4,0
36835.31754895272,37373.69819170612,-538.3806427534,-0.044865053562783336,0,742,0,0,0,0,0,216,6,0
17176.820801392627,18526.763008892194,-1349.9422074995673,-0.11249518395829727,1,721,1,0,0,0,0,596,1,0
15534.31779347203,16971.83384249335,-1437.5160490213202,-0.11979300408511002,0,448,0,0,0,0,0,949,2,0
21012.503316394304,22894.88541261731,-1882.3820962230056,-0.15686517468525046,0,239,0,0,0,0,0,622,3,0
20309.314085346665,21290.418815923018,-981.1047305763532,-0.08175872754802943,0,504,0,0,0,0,0,2050,5,0
109119.6701114082,20235.894201750823,88883.77590965737,7.406981325804781,1,40,2,2,3,1,0,68,41,1
16852.759775344286,14348.327516356232,2504.432258988054,0.2087026882490045,0,421,2,0,0,0,0,1139,1,0
40911.80702167289,38042.60005048123,2869.2069711916556,0.23910058093263797,0,623,3,0,0,0,0,2266,6,0
19051.412096180065,19484.355913419713,-432.9438172396476,-0.0360786514366373,0,497,1,0,1,0,0,1926,2,0
32165.924432136573,31400.525681296287,765.3987508402861,0.06378322923669051,0,438,0,0,0,0,0,1671,9,0
23056.11931807237,20105.125747767466,2950.993570304905,0.2459161308587421,1,555,0,0,0,0,0,462,1,0
10029.997509847846,10179.497398593825,-149.49988874597875,-0.012458324062164896,1,638,2,0,0,0,0,1871,2,0
16270.221943376842,15969.220115160895,301.00182821594717,0.025083485684662263,0,392,1,0,0,0,0,801,4,0
24498.579504790865,24140.92008350434,357.65942128652387,0.02980495177387699,0,151,1,0,0,0,0,603,2,0
17921.409397688833,18378.94243414678,-457.53303645794585,-0.038127753038162154,0,419,2,0,0,0,0,1518,4,0
46105.09485594331,47069.26097476252,-964.1661188192084,-0.08034717656826736,0,657,0,0,0,0,0,1065,1,0
27131.181141604375,29322.187809696334,-2191.006668091959,-0.18258388900766326,0,502,0,1,0,0,0,1583,1,0
21131.394519521724,22771.806190551484,-1640.4116710297603,-0.13670097258581337,0,668,0,1,0,0,0,237,1,0
105975.04368981795,19631.73424992666,86343.30943989128,7.195275786657606,2,41,2,0,3,1,0,148,57,1
30906.75421128127,34821.401139079375,-3914.646927798105,-0.3262205773165088,0,389,1,0,0,0,0,573,6,0
28019.74448578081,31042.88362975363,-3023.1391439728177,-0.2519282619977348,0,717,1,0,0,0,0,2065,7,0
29961.853741707397,32918.163891234755,-2956.3101495273586,-0.2463591791272799,1,770,0,0,0,0,0,428,2,0
35246.13959585738,34256.426440112424,989.7131557449538,0.08247609631207949,1,250,0,0,0,0,0,1551,2,0
21163.460278208106,20858.75907094752,304.70120726058667,0.025391767271715555,1,717,1,0,0,0,0,1803,2,0
32466.25257993225,31478.080961361677,988.1716185705736,0.08234763488088113,0,470,0,0,0,0,0,1797,1,0
29343.73185051786,30372.6913748608,-1028.9595243429394,-0.08574662702857828,0,443,0,0,0,0,0,262,5,0
45185.06782152035,42396.99204062326,2788.0757808970884,0.2323396484080907,0,782,1,0,0,0,0,1229,1,0
16146.259699871722,18479.11696615448,-2332.857266282759,-0.19440477219022992,0,553,0,1,0,0,0,1951,1,0
172300.00513687954,15584.706431664956,156715.29870521458,13.059608225434548,1,68,6,0,1,1,0,203,15,1
155872.14672602323,10138.750913421563,145733.39581260167,12.144449651050138,1,35,6,1,1,1,0,264,48,1
12865.66921249788,14323.085941779524,-1457.4167292816437,-0.12145139410680364,0,338,1,0,0,0,0,950,4,0
214108.86502511014,11023.761517405512,203085.10350770463,16.92375862564205,2,26,6,0,2,0,0,220,35,1
40667.24817388866,38450.190334496074,2217.05783939259,0.18475481994938248,0,798,0,0,0,0,0,443,5,0
229856.09285824373,22430.130602514033,207425.9622557297,17.285496854644144,1,37,7,1,2,0,0,191,36,1
29333.678022233944,25266.13137798718,4067.5466442467623,0.33896222035389684,0,224,1,0,0,0,0,301,3,0
25433.74971972742,25219.632609213775,214.11711051364546,0.01784309254280379,0,466,2,0,0,0,0,1594,3,0
134895.9323166692,30435.259826899546,104460.67248976965,8.705056040814139,2,43,7,0,2,0,1,173,32,1
7144.515291487331,7746.3118925148965,-601.7966010275659,-0.05014971675229716,0,586,0,0,0,0,0,681,3,0
146391.42923845322,22924.045786394097,123467.38345205912,10.288948621004927,3,71,6,1,2,1,0,153,38,1
21928.2514946358,19344.461859569736,2583.789635066063,0.21531580292217192,0,698,0,0,0,0,0,1135,3,0
14567.982078836181,15421.648666637391,-853.66658780121,-0.0711388823167675,1,214,0,0,0,0,0,1244,2,0
12666.055710549028,11757.27316497026,908.7825455787679,0.07573187879823066,0,630,1,0,1,0,0,597,5,0
28445.239427171393,27861.67553273736,583.5638944340317,0.048630324536169306,0,554,0,1,0,0,0,483,2,0
12422.294494857271,13042.062604845885,-619.768109988614,-0.05164734249905117,0,186,0,0,0,0,0,2256,2,0
17838.831415942383,18274.130389450394,-435.29897350801184,-0.03627491445900099,0,400,0,0,0,0,0,575,6,0
23110.033361381324,22017.264567614424,1092.7687937668998,0.09106406614724165,1,183,0,0,0,0,0,1592,1,0
20240.595371290103,22835.028607135293,-2594.43323584519,-0.21620276965376586,0,124,1,0,0,0,0,418,1,0
186291.1110715375,20771.42733023746,165519.68374130005,13.79330697844167,3,63,6,1,3,0,0,19,19,1
14449.767282556537,12340.581182242102,2109.186100314435,0.17576550835953625,0,420,0,1,0,0,0,838,4,0
17756.107730529642,17708.917158599732,47.19057192991022,0.003932547660825851,0,306,1,0,0,0,0,2104,1,0
119585.28553292771,14330.021466933533,105255.26406599418,8.771272005499515,1,12,3,2,4,0,0,163,44,1
160890.9134490878,24077.755219011433,136813.15823007637,11.40109651917303,3,59,5,1,1,0,0,208,45,1
32485.68348400652,30270.17276982687,2215.5107141796507,0.18462589284830422,0,138,0,0,0,0,0,808,4,0
25906.056399930807,25817.15583421915,88.90056571165769,0.007408380475971474,0,797,1,0,0,0,0,2457,2,0
34345.06105596123,34991.112316801395,-646.0512608401623,-0.053837605070013526,0,250,0,0,0,0,0,548,3,0
33829.52207160822,30051.944645506326,3777.5774261018923,0.31479811884182435,0,268,1,0,1,0,0,1094,2,0
8581.115420004448,8643.186595471258,-62.07117546681002,-0.005172597955567501,0,336,0,0,0,0,0,1860,4,0
74794.11593788881,16327.207374398378,58466.90856349043,4.87224238029087,4,24,3,2,1,1,0,139,17,1
41367.42405017229,41244.70522840935,122.7188217629373,0.010226568480244775,0,462,0,0,0,0,0,1347,3,0
195141.94982097027,16964.95003964266,178176.9997813276,14.848083315110635,3,6,10,2,2,0,0,76,33,1
17086.54255921931,18238.39502552544,-1151.852466306129,-0.09598770552551074,0,774,1,0,0,0,0,610,1,0
44358.14624258733,48894.507167023534,-4536.3609244362015,-0.3780300770363501,0,658,0,0,0,0,0,1822,1,0
31597.998335019867,33860.37128634356,-2262.3729513236904,-0.18853107927697418,1,322,1,0,0,0,0,1597,3,0
11895.64402001078,13243.74764930503,-1348.10362929425,-0.11234196910785416,1,249,1,0,0,0,0,1955,4,0
19101.15094618982,17891.194976581544,1209.955969608276,0.100829664134023,0,379,0,0,1,0,0,227,3,0
17080.263533310455,17734.7761688807,-654.512635570245,-0.054542719630853755,0,372,1,0,0,0,0,1603,3,0
17369.074269742363,16305.11440956419,1063.9598601781727,0.08866332168151439,0,622,1,0,1,0,0,1360,3,0
18629.543482176636,18280.785818339245,348.7576638373903,0.029063138653115855,0,133,0,0,1,0,0,613,6,0
18008.11821643728,20008.796926406045,-2000.6787099687645,-0.16672322583073038,0,598,0,0,1,0,0,700,3,0
50763.24592279099,58351.891614378714,-7588.645691587721,-0.6323871409656434,0,163,0,1,0,0,0,1503,2,0
28937.706599947513,30587.079448949688,-1649.372849002175,-0.1374477374168479,0,450,0,0,0,0,0,1935,11,0
20266.8026165816,18750.11248091024,1516.6901356713606,0.12639084463928005,0,651,1,0,0,0,0,514,2,0
22029.685486134105,22105.787934007145,-76.10244787303964,-0.006341870656086637,1,361,0,0,1,0,0,1971,2,0
15318.813860953689,13341.343779658006,1977.4700812956835,0.16478917344130695,1,408,0,0,0,0,0,1251,2,0
73803.32609971552,16410.379071571126,57392.947028144394,4.7827455856787,2,47,3,2,2,0,0,178,22,1
21387.9882445201,23044.247574756642,-1656.2593302365422,-0.13802161085304518,0,370,0,0,0,0,0,727,23,0
118653.50959325433,23052.72009913548,95600.78949411886,7.966732457843238,1,57,5,0,1,0,1,166,52,1
14295.894733680267,13472.209772218483,823.684961461784,0.06864041345514867,0,654,1,0,0,0,0,781,4,0
21682.469848122106,20680.56078145048,1001.9090666716256,0.08349242222263546,1,483,0,0,0,0,0,1772,4,0
44851.70640718556,39163.973964698875,5687.732442486682,0.47397770354055685,0,362,0,0,0,0,0,1955,3,0
21738.77140228128,20098.815891837276,1639.9555104440042,0.13666295920366703,0,271,0,0,0,0,0,2211,3,0
25434.490798527455,27802.965391114314,-2368.474592586859,-0.1973728827155716,0,591,2,0,0,0,0,242,2,0
15299.741983148022,15390.358467726817,-90.61648457879528,-0.007551373714899607,0,212,0,1,0,0,0,700,2,0
19422.01380717656,20528.888040202244,-1106.8742330256828,-0.0922395194188069,0,131,0,0,0,0,0,1285,1,0
30357.179019095816,28042.38764816071,2314.791370935105,0.19289928091125877,0,286,0,0,0,0,0,1061,8,0
8293.326348363067,7751.04818380807,542.2781645549976,0.0451898470462498,0,439,2,0,0,0,0,1802,5,0
27277.56393956222,28058.029870812843,-780.4659312506228,-0.06503882760421857,0,616,1,0,0,0,0,1623,3,0
18014.83172727735,17253.398526431774,761.4332008455749,0.06345276673713124,1,201,1,0,0,0,0,883,1,0
13834.0575432913,12235.336907048959,1598.7206362423403,0.1332267196868617,0,499,2,0,0,0,0,1224,2,0
19723.95198407729,22468.15124184643,-2744.1992577691417,-0.2286832714807618,1,783,2,1,0,0,0,984,3,0
33513.4885800474,36755.1375014523,-3241.6489214048997,-0.270137410117075,0,778,1,0,0,0,0,1245,2,0
13124.247509084755,11472.626155782458,1651.6213533022965,0.1376351127751914,0,777,0,0,0,0,0,2160,6,0
31414.208248937768,32186.46663461946,-772.2583856816927,-0.0643548654734744,0,575,0,0,0,0,0,2062,1,0
127803.48896693505,13234.763361349333,114568.72560558571,9.547393800465477,1,70,6,3,4,0,1,268,28,1
58137.51675340254,58032.43298789992,105.08376550261892,0.008756980458551576,0,698,1,1,0,0,0,515,1,0
22522.706324017945,20228.05161829565,2294.654705722296,0.191221225476858,0,355,1,0,0,0,0,181,2,0
9046.77218159737,7945.4788728388285,1101.2933087585407,0.09177444239654506,1,170,1,0,0,0,0,191,1,0
21135.249646089625,18381.081418734164,2754.1682273554616,0.22951401894628845,0,670,0,0,0,0,0,1967,1,0
162228.3822757079,25811.35777722763,136417.02449848028,11.368085374873358,2,18,4,1,3,0,0,92,40,1
17337.163707277407,17083.70024443794,253.46346283946696,0.021121955236622247,0,754,0,0,0,0,0,742,4,0
25943.84086051037,25234.357200420865,709.4836600895032,0.059123638340791936,0,616,1,0,0,0,0,1122,1,0
25105.668420062193,23159.04628664182,1946.6221334203728,0.1622185111183644,1,133,0,0,0,0,0,1141,2,0
25581.399125917724,27041.15646495769,-1459.7573390399666,-0.12164644491999722,0,232,0,0,0,0,0,1815,5,0
6232.2158738708895,6053.219245803213,178.99662806767628,0.014916385672306357,0,135,0,0,0,0,0,2105,2,0
15643.087409726215,17664.383399515613,-2021.295989789398,-0.16844133248244983,0,209,0,0,0,0,0,1020,3,0
